,id,name,popularity,track_number,uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artists,album,release_date
48,2BcPFQ7nrtUObgAs72xaac,Vaathi Coming,65.0,1.0,spotify:track:2BcPFQ7nrtUObgAs72xaac,0.643,0.952,-4.15,0.246,0.276,0.49,0.0588,0.585,164.784,"Anirudh Ravichander, Gana Balachandar",Master (Original Motion Picture Soundtrack),2020-03-16
49,2BcPFQ7nrtUObgAs72xaac,Vaathi Coming,65.0,1.0,spotify:track:2BcPFQ7nrtUObgAs72xaac,0.643,0.952,-4.15,0.246,0.276,0.49,0.0588,0.585,164.784,"Anirudh Ravichander, Gana Balachandar",Master (Original Motion Picture Soundtrack),2020-03-16
50,2BcPFQ7nrtUObgAs72xaac,Vaathi Coming,65.0,1.0,spotify:track:2BcPFQ7nrtUObgAs72xaac,0.643,0.952,-4.15,0.246,0.276,0.49,0.0588,0.585,164.784,"Anirudh Ravichander, Gana Balachandar",Master (Original Motion Picture Soundtrack),2020-03-16
51,2BcPFQ7nrtUObgAs72xaac,Vaathi Coming,65.0,1.0,spotify:track:2BcPFQ7nrtUObgAs72xaac,0.643,0.952,-4.15,0.246,0.276,0.49,0.0588,0.585,164.784,"Anirudh Ravichander, Gana Balachandar",Master (Original Motion Picture Soundtrack),2020-03-16
52,2BcPFQ7nrtUObgAs72xaac,Vaathi Coming,65.0,1.0,spotify:track:2BcPFQ7nrtUObgAs72xaac,0.643,0.952,-4.15,0.246,0.276,0.49,0.0588,0.585,164.784,"Anirudh Ravichander, Gana Balachandar",Master (Original Motion Picture Soundtrack),2020-03-16
53,6jiMGpaN4Sx7xYlSQqfjnz,"Beast Announcement Theme (From ""Beast"")",60.0,1.0,spotify:track:6jiMGpaN4Sx7xYlSQqfjnz,0.577,0.791,-8.135,0.0452,0.00292,0.703,0.255,0.573,170.992,Anirudh Ravichander,"Beast Announcement Theme (From ""Beast"")",2022-02-23
54,6jiMGpaN4Sx7xYlSQqfjnz,"Beast Announcement Theme (From ""Beast"")",60.0,1.0,spotify:track:6jiMGpaN4Sx7xYlSQqfjnz,0.577,0.791,-8.135,0.0452,0.00292,0.703,0.255,0.573,170.992,Anirudh Ravichander,"Beast Announcement Theme (From ""Beast"")",2022-02-23
55,6jiMGpaN4Sx7xYlSQqfjnz,"Beast Announcement Theme (From ""Beast"")",60.0,1.0,spotify:track:6jiMGpaN4Sx7xYlSQqfjnz,0.577,0.791,-8.135,0.0452,0.00292,0.703,0.255,0.573,170.992,Anirudh Ravichander,"Beast Announcement Theme (From ""Beast"")",2022-02-23
56,6jiMGpaN4Sx7xYlSQqfjnz,"Beast Announcement Theme (From ""Beast"")",60.0,1.0,spotify:track:6jiMGpaN4Sx7xYlSQqfjnz,0.577,0.791,-8.135,0.0452,0.00292,0.703,0.255,0.573,170.992,Anirudh Ravichander,"Beast Announcement Theme (From ""Beast"")",2022-02-23
57,6jiMGpaN4Sx7xYlSQqfjnz,"Beast Announcement Theme (From ""Beast"")",60.0,1.0,spotify:track:6jiMGpaN4Sx7xYlSQqfjnz,0.577,0.791,-8.135,0.0452,0.00292,0.703,0.255,0.573,170.992,Anirudh Ravichander,"Beast Announcement Theme (From ""Beast"")",2022-02-23
58,6jiMGpaN4Sx7xYlSQqfjnz,"Beast Announcement Theme (From ""Beast"")",60.0,1.0,spotify:track:6jiMGpaN4Sx7xYlSQqfjnz,0.577,0.791,-8.135,0.0452,0.00292,0.703,0.255,0.573,170.992,Anirudh Ravichander,"Beast Announcement Theme (From ""Beast"")",2022-02-23
59,6jiMGpaN4Sx7xYlSQqfjnz,"Beast Announcement Theme (From ""Beast"")",60.0,1.0,spotify:track:6jiMGpaN4Sx7xYlSQqfjnz,0.577,0.791,-8.135,0.0452,0.00292,0.703,0.255,0.573,170.992,Anirudh Ravichander,"Beast Announcement Theme (From ""Beast"")",2022-02-23
60,6jiMGpaN4Sx7xYlSQqfjnz,"Beast Announcement Theme (From ""Beast"")",60.0,1.0,spotify:track:6jiMGpaN4Sx7xYlSQqfjnz,0.577,0.791,-8.135,0.0452,0.00292,0.703,0.255,0.573,170.992,Anirudh Ravichander,"Beast Announcement Theme (From ""Beast"")",2022-02-23
61,5pOY1Vg2TIIbVBfR6yAg0C,Gaali Vaaluga,60.0,2.0,spotify:track:5pOY1Vg2TIIbVBfR6yAg0C,0.677,0.81,-6.192,0.0378,0.643,3e-06,0.168,0.614,110.044,Anirudh Ravichander,Agnyaathavaasi,2017-11-07
62,5pOY1Vg2TIIbVBfR6yAg0C,Gaali Vaaluga,60.0,2.0,spotify:track:5pOY1Vg2TIIbVBfR6yAg0C,0.677,0.81,-6.192,0.0378,0.643,3e-06,0.168,0.614,110.044,Anirudh Ravichander,Agnyaathavaasi (Original Motion Picture Soundtrack),2017-12-19
63,5pOY1Vg2TIIbVBfR6yAg0C,Gaali Vaaluga,60.0,2.0,spotify:track:5pOY1Vg2TIIbVBfR6yAg0C,0.677,0.81,-6.192,0.0378,0.643,3e-06,0.168,0.614,110.044,Anirudh Ravichander,Agnyaathavaasi,2017-11-07
64,5pOY1Vg2TIIbVBfR6yAg0C,Gaali Vaaluga,60.0,2.0,spotify:track:5pOY1Vg2TIIbVBfR6yAg0C,0.677,0.81,-6.192,0.0378,0.643,3e-06,0.168,0.614,110.044,Anirudh Ravichander,Agnyaathavaasi,2017-11-07
65,5pOY1Vg2TIIbVBfR6yAg0C,Gaali Vaaluga,60.0,2.0,spotify:track:5pOY1Vg2TIIbVBfR6yAg0C,0.677,0.81,-6.192,0.0378,0.643,3e-06,0.168,0.614,110.044,Anirudh Ravichander,Agnyaathavaasi (Original Motion Picture Soundtrack),2017-12-19
66,5pOY1Vg2TIIbVBfR6yAg0C,Gaali Vaaluga,60.0,2.0,spotify:track:5pOY1Vg2TIIbVBfR6yAg0C,0.677,0.81,-6.192,0.0378,0.643,3e-06,0.168,0.614,110.044,Anirudh Ravichander,Agnyaathavaasi,2017-11-07
67,5pOY1Vg2TIIbVBfR6yAg0C,Gaali Vaaluga,60.0,2.0,spotify:track:5pOY1Vg2TIIbVBfR6yAg0C,0.677,0.81,-6.192,0.0378,0.643,3e-06,0.168,0.614,110.044,Anirudh Ravichander,Agnyaathavaasi,2017-11-07
68,5pOY1Vg2TIIbVBfR6yAg0C,Gaali Vaaluga,60.0,2.0,spotify:track:5pOY1Vg2TIIbVBfR6yAg0C,0.677,0.81,-6.192,0.0378,0.643,3e-06,0.168,0.614,110.044,Anirudh Ravichander,Agnyaathavaasi (Original Motion Picture Soundtrack),2017-12-19
69,5pOY1Vg2TIIbVBfR6yAg0C,Gaali Vaaluga,60.0,2.0,spotify:track:5pOY1Vg2TIIbVBfR6yAg0C,0.677,0.81,-6.192,0.0378,0.643,3e-06,0.168,0.614,110.044,Anirudh Ravichander,Agnyaathavaasi,2017-11-07
70,5pOY1Vg2TIIbVBfR6yAg0C,Gaali Vaaluga,60.0,2.0,spotify:track:5pOY1Vg2TIIbVBfR6yAg0C,0.677,0.81,-6.192,0.0378,0.643,3e-06,0.168,0.614,110.044,Anirudh Ravichander,Agnyaathavaasi,2017-11-07
71,5pOY1Vg2TIIbVBfR6yAg0C,Gaali Vaaluga,60.0,2.0,spotify:track:5pOY1Vg2TIIbVBfR6yAg0C,0.677,0.81,-6.192,0.0378,0.643,3e-06,0.168,0.614,110.044,Anirudh Ravichander,Agnyaathavaasi (Original Motion Picture Soundtrack),2017-12-19
