,id,name,popularity,track_number,uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artists,album,release_date
234,47Cd4WP1ZOK8WXC68kqZ03,Ennadi Maayavi Nee,65.0,5.0,spotify:track:47Cd4WP1ZOK8WXC68kqZ03,0.55,0.246,-12.503,0.03,0.834,0.00279,0.0977,0.218,119.836,"Santhosh Narayanan, Sid Sriram",VadaChennai (Original Motion Picture Soundtrack),2018-09-23
235,0Xm3PXjA4kXu2GxBhkLk61,"Kutti Story (From ""Master"")",54.0,1.0,spotify:track:0Xm3PXjA4kXu2GxBhkLk61,0.694,0.557,-6.134,0.102,0.202,1.35e-06,0.0919,0.78,104.759,"Anirudh Ravichander, Thalapathy Vijay","Kutti Story (From ""Master"")",2020-02-14
236,0OgazYID6CUlSeiAoeuf5B,"Jigidi Killaadi (From ""Pattas"")",60.0,1.0,spotify:track:0OgazYID6CUlSeiAoeuf5B,0.858,0.786,-4.359,0.0495,0.0727,5.92e-06,0.0539,0.511,95.002,"Anirudh Ravichander, Vivek - Mervin","Jigidi Killaadi (From ""Pattas"")",2019-12-26
237,2oNRoniEFnPdaCfkOQ9m0C,"Rakita Rakita Rakita (From ""Jagame Thandhiram"")",63.0,1.0,spotify:track:2oNRoniEFnPdaCfkOQ9m0C,0.79,0.74,-7.505,0.168,0.581,0.000165,0.523,0.948,133.526,"Santhosh Narayanan, Dhanush, Dhee","Rakita Rakita Rakita (From ""Jagame Thandhiram"")",2020-07-28
238,2b4nWymybHj38A6XtQijiA,"Kaattu Payale (From ""Soorarai Pottru"")",61.0,1.0,spotify:track:2b4nWymybHj38A6XtQijiA,0.7,0.631,-8.377,0.212,0.325,0.000246,0.376,0.49,78.924,"G. V. Prakash, Dhee","Kaattu Payale (From ""Soorarai Pottru"")",2020-07-23
239,1baHxgYktT8eDdmtTozJF9,Enjoy Enjaami,64.0,1.0,spotify:track:1baHxgYktT8eDdmtTozJF9,0.856,0.709,-7.432,0.222,0.349,0.000209,0.225,0.856,110.009,"Dhee, Arivu, Santhosh Narayanan",Enjoy Enjaami,2021-03-05
256,6bUHZRZ4YpVxB1RWrPH5dh,Nenjame,56.0,2.0,spotify:track:6bUHZRZ4YpVxB1RWrPH5dh,0.606,0.647,-9.098,0.0672,0.261,5.43e-05,0.4,0.124,139.991,Anirudh Ravichander,Doctor (Original Motion Picture Soundtrack),2021-10-05
257,6GFtWQYco30oKpMr5xJwy2,"Soul of Doctor (Theme) [From ""Doctor""]",64.0,1.0,spotify:track:6GFtWQYco30oKpMr5xJwy2,0.473,0.837,-7.101,0.0336,0.0968,0.912,0.297,0.212,97.261,"Anirudh Ravichander, Niranjana Ramanan","Soul of Doctor (Theme) [From ""Doctor""]",2021-09-28
266,3H3x4NhR3wJh6IvRHmPvkd,"Tum Tum (From ""Enemy - Tamil"")",76.0,1.0,spotify:track:3H3x4NhR3wJh6IvRHmPvkd,0.741,0.761,-5.414,0.143,0.759,0.000607,0.126,0.912,147.047,"Thaman S, Srivardhini, Aditi Bhavaraju, Satya Yamini, Roshini JKV, Tejaswini","Tum Tum (From ""Enemy - Tamil"")",2021-09-03
267,4TzigAgik8j6HvdTGWHOW3,Cheliya,44.0,4.0,spotify:track:4TzigAgik8j6HvdTGWHOW3,0.669,0.788,-6.611,0.0435,0.0626,8.03e-06,0.106,0.794,144.977,KK,Yevadu,2013-07-01
